,publisher,scores,total,avg_score
130,Epic Games,"[7.0, 8.0, 9.6, 10.0, 9.1, 9.0, 6.5, 6.5]",8,8.2125
131,Blade Interactive,"[5.3, 5.3]",2,5.3
132,Character Options,"[7.8, 7.8, 7.8]",3,7.8
133,Home Entertainment Suppliers,"[8.0, 6.8, 7.0, 7.0, 6.0, 5.0]",6,6.633333333333333
134,Play It,"[6.3, 6.5, 3.3, 7.5, 5.5, 5.2, 5.5, 7.0, 5.5, 5.5, 7.0, 6.0, 5.0]",13,5.8307692307692305
135,Ultizen Games,[2.5],1,2.5
136,Big Ant Studios,[6.0],1,6.0
137,Night Light Interactive,[5.8],1,5.8
138,Pandasaurus,[6.0],1,6.0
139,JV Games,"[7.0, 7.0, 4.1, 2.0, 4.0]",5,4.82
140,"s Media Creations"", 'Reliance Games",[5.3],1,5.3
141,Benjamin Rivers Inc.,[6.5],1,6.5
142,Destan Entertainment,[2.0],1,2.0
143,Wanadoo FTG,"[7.8, 6.8, 6.4]",3,7.0
144,Games Workshop,"[7.0, 6.0, 8.0, 7.2, 7.5, 8.0]",6,7.283333333333334
145,Clear Crown Studios,[4.3],1,4.3
146,Angel (JP),[3.0],1,3.0
147,Nova Development Corporation,"[3.5, 6.0, 3.5, 7.4, 7.0, 7.1]",6,5.75
148,Hoplite Research,"[8.5, 7.5, 4.0, 6.7]",4,6.675
149,Bally Midway,"[8.0, 3.0, 3.0, 7.5, 7.0, 7.5, 7.0, 6.5, 9.0, 7.5, 7.0, 7.4, 4.9, 8.0]",14,6.6642857142857155
150,Lionsoft,"[4.8, 4.5]",2,4.65
151,Mahou,[4.0],1,4.0
152,Big Fish Games,"[7.5, 5.9, 7.5, 9.0, 7.8, 7.0, 6.5, 7.0, 3.0, 5.1]",10,6.63
153,Digital Bridges,"[7.8, 7.3, 6.1, 5.8, 8.0, 4.3, 7.0, 7.5, 8.2, 6.0, 7.0, 8.0, 8.5, 8.5, 7.5, 8.1, 7.0, 5.0, 4.0, 7.9, 7.0, 8.5]",22,7.045454545454547
154,Boolot Games,[7.5],1,7.5
155,Fallen Earth,[8.1],1,8.1
156,DigiCube,[6.5],1,6.5
157,Tengen,"[8.5, 7.0, 7.0, 8.5, 8.5, 8.2, 6.0, 6.0, 8.0, 9.0, 5.0, 4.0, 8.0, 6.0, 6.0, 7.0, 7.0, 4.0, 7.0, 6.7, 5.0, 8.0, 9.0, 4.3, 9.0, 8.0, 4.0, 8.0, 9.0, 3.0, 8.0]",31,6.861290322580645
158,Atari,"[4.5, 8.5, 7.9, 5.9, 6.8, 3.5, 3.0, 3.5, 7.0, 7.3, 8.6, 7.5, 6.0, 7.4, 8.2, 6.7, 5.0, 7.2, 6.0, 7.0, 6.0, 4.5, 5.2, 8.4, 6.0, 1.0, 6.5, 6.5, 2.5, 6.5, 5.5, 5.5, 6.0, 1.5, 6.0, 8.3, 8.1, 6.0, 6.0, 2.5, 5.0, 7.0, 7.0, 4.0, 7.6, 2.9, 2.0, 5.5, 8.0, 5.7, 7.0, 7.6, 9.3, 8.0, 8.5, 9.0, 6.9, 6.0, 6.2, 8.0, 5.0, 8.0, 7.3, 6.4, 7.5, 7.5, 7.1, 6.0, 8.3, 8.2, 6.2, 6.4, 7.4, 7.5, 8.0, 8.2, 8.3, 8.0, 8.0, 7.8, 7.9, 7.9, 6.5, 7.5, 3.5, 4.0, 4.0, 7.0, 7.7, 7.0, 7.5, 7.5, 4.0, 8.4, 5.4, 5.4, 8.0, 5.5, 9.7, 8.9, 4.5, 7.2, 7.2, 5.9, 8.6, 7.4, 7.5, 8.0, 8.3, 7.2, 6.5, 7.2, 7.2, 6.6, 8.5, 7.3, 7.3, 7.0, 8.4, 4.5, 6.5, 5.8, 7.6, 7.1, 8.0, 7.8, 8.0, 8.5, 6.5, 6.5, 3.0, 4.9, 4.9, 8.0, 9.2, 6.1, 4.2, 8.0, 7.5, 7.5, 6.0, 8.2, 4.9, 6.9, 8.3, 8.4, 8.4, 4.0, 1.7, 6.0, 5.5, 5.5, 8.1, 8.0, 9.0, 7.5, 2.5, 2.5, 2.3, 5.8, 7.9, 7.9, 5.0, 4.0, 8.2, 7.0, 7.0, 7.0, 7.0, 8.5, 6.5, 7.0, 6.0, 6.8, 7.0, 8.0, 3.5, 7.3, 7.3, 6.2, 8.2, 7.0, 4.5, 5.0, 4.3, 7.5, 8.6, 9.0, 8.5, 7.0, 8.5, 8.2, 8.3, 8.6, 7.7, 1.1, 8.5, 7.8, 9.0, 8.5, 7.8, 7.5, 6.9, 6.5, 6.5, 6.5, 8.5, 8.3, 8.3, 7.7, 7.2, 8.1, 7.7, 8.7, 7.7, 8.5, 3.5, 7.7, 5.0, 2.8, 6.0, 5.5, 8.5, 8.2, 8.2, 7.9, 6.5, 7.5, 6.5, 4.5, 7.0, 8.1, 6.2, 7.0, 7.0, 9.2, 9.2, 9.0, 9.0, 6.0, 5.5, 5.6, 4.9, 7.0, 4.5, 6.8, 4.0, 6.8, 7.0, 7.4, 4.0, 6.0, 6.0, 3.5, 3.5, 6.5, 7.1, 6.5, 6.5, 6.5, 5.5, 8.0, 8.0, 7.3, 7.8, 7.4, 7.8, 7.8, 6.5, 7.7, 3.0, 1.9, 7.5, 7.0, 6.5, 9.0, 9.0, 8.5, 8.3, 8.5, 7.5, 8.5, 7.6, 7.6, 7.6, 8.7, 8.7, 8.7, 7.4, 9.3, 4.0, 7.5, 7.0, 7.0, 7.8, 8.2, 8.0, 9.4, 9.4, 6.9, 8.4, 8.0, 8.8, 8.0, 7.8, 5.0, 4.9, 6.0, 5.5, 5.5, 5.9, 3.0, 5.5, 4.5, 4.1, 5.5, 5.0]",317,6.722712933753943
159,GAME Studios,"[7.1, 3.4, 7.3, 7.5]",4,6.325
160,DreamCatcher Interactive,"[6.0, 6.0, 4.6, 2.0, 7.5, 7.8, 8.0, 5.5, 7.3, 7.2, 6.5, 6.4, 8.3, 7.2, 7.9, 7.7, 5.8, 5.8, 6.8, 5.9, 7.8, 6.8, 7.8, 4.0, 7.2, 8.0, 7.8, 4.5, 8.4, 8.1, 5.8, 6.5, 8.2, 6.5, 8.0, 6.0, 4.0, 6.0, 8.2, 7.4, 4.5, 8.0, 2.7, 7.5, 5.5, 5.2, 6.0, 4.8, 6.1, 6.8, 7.6, 5.1, 6.8, 7.5, 5.2, 4.0, 7.0, 2.6, 7.0, 7.9, 6.0, 5.3, 5.0, 5.2, 6.9, 4.5, 7.0, 8.1, 7.6, 3.0, 4.0, 8.4, 5.0, 4.5, 5.5, 4.5, 4.4, 6.1, 7.1, 6.8, 4.5, 4.2, 7.0, 6.1, 6.5, 7.6, 5.0, 5.0, 5.9, 6.1]",90,6.197777777777778
161,Ivy Games,[7.4],1,7.4
162,Turtle Beach,[7.7],1,7.7
163,GameTap,"[6.0, 6.3, 6.3, 6.1, 6.2, 6.2, 5.7, 7.6, 8.2, 8.7, 6.8, 7.8, 6.6, 8.0, 8.2, 8.1, 8.3, 8.2, 8.0]",19,7.226315789473683
164,Software Toolworks,[4.0],1,4.0
165,Terminal Reality,"[4.8, 6.0]",2,5.4
166,Hardsuit Labs,[8.5],1,8.5
167,Endloop Systems,[7.5],1,7.5
168,Pinnacle Software,"[8.8, 8.9, 7.0, 6.8, 7.5]",5,7.8
169,Golem Labs,[1.0],1,1.0
170,Digital Extremes,[8.6],1,8.6
171,LeapFrog,"[6.5, 6.5, 6.5, 8.0, 6.5]",5,6.8
172,Readysoft,"[8.0, 7.2, 7.0, 9.0, 4.5, 8.0, 3.0]",7,6.671428571428572
173,Enix,"[7.3, 7.5, 7.5, 7.5, 9.0, 6.8, 7.7, 8.9, 8.0, 8.9, 7.0, 10.0, 8.0, 9.0, 9.0, 8.7, 9.2, 8.8, 7.0, 7.9, 7.5, 6.2, 6.0, 9.0, 7.3, 6.0, 9.1]",27,7.955555555555555
174,Dovetail Games,[7.0],1,7.0
175,Gaslamp Games,"[6.5, 8.5]",2,7.5
176,Lazy 8 Studios,"[8.0, 7.3]",2,7.65
177,Game Mill Entertainment,"[6.4, 2.0, 7.0]",3,5.133333333333334
178,Endnight Games,[8.4],1,8.4
